Date,Open,High,Low,Close,Volume
1/2/2013,70.20 ,70.52 ,70.10 ,70.26 ,105956.00 
1/3/2013,70.32 ,70.41 ,70.18 ,70.27 ,16323.00 
1/4/2013,70.54 ,70.55 ,70.01 ,70.34 ,4910.00 
1/7/2013,70.25 ,70.29 ,69.97 ,69.97 ,2001.00 
1/8/2013,70.25 ,70.25 ,69.73 ,69.73 ,2909.00 
1/9/2013,69.84 ,69.97 ,69.70 ,69.95 ,2241.00 
1/10/2013,70.03 ,70.35 ,69.88 ,70.22 ,31791.00 
1/11/2013,69.85 ,69.85 ,69.79 ,69.85 ,779.00 
1/14/2013,70.10 ,70.38 ,69.78 ,69.90 ,3931.00 
1/15/2013,69.72 ,69.92 ,69.20 ,69.39 ,15884.00 
1/16/2013,69.78 ,69.78 ,69.21 ,69.62 ,9935.00 
1/17/2013,69.49 ,70.20 ,69.47 ,69.89 ,1415.00 
1/18/2013,70.16 ,70.17 ,69.82 ,69.87 ,10371.00 
1/21/2013,70.10 ,70.13 ,69.98 ,70.13 ,747.00 
1/22/2013,70.12 ,70.12 ,69.11 ,69.63 ,47453.00 
1/23/2013,69.77 ,69.94 ,69.61 ,69.77 ,47958.00 
1/24/2013,70.13 ,70.15 ,69.39 ,70.15 ,65741.00 
1/25/2013,70.77 ,71.10 ,70.77 ,71.00 ,45301.00 
1/28/2013,71.13 ,71.26 ,70.98 ,71.06 ,3782.00 
1/29/2013,71.38 ,71.38 ,70.76 ,70.97 ,34292.00 
1/30/2013,71.06 ,71.06 ,70.40 ,70.68 ,9845.00 
1/31/2013,70.60 ,70.64 ,70.34 ,70.59 ,7819.00 
2/1/2013,71.00 ,71.06 ,70.57 ,71.06 ,18367.00 
2/4/2013,70.91 ,70.91 ,69.42 ,69.46 ,86812.00 
2/5/2013,68.50 ,69.45 ,68.50 ,69.36 ,40169.00 
2/6/2013,69.55 ,69.55 ,68.35 ,68.46 ,17700.00 
2/7/2013,68.58 ,69.25 ,68.58 ,68.71 ,21258.00 
2/8/2013,68.88 ,69.24 ,68.83 ,69.20 ,64415.00 
2/11/2013,69.21 ,69.53 ,68.87 ,68.94 ,37460.00 
2/12/2013,69.00 ,69.34 ,68.75 ,69.28 ,27054.00 
2/13/2013,69.88 ,69.99 ,69.82 ,69.93 ,14450.00 
2/14/2013,69.73 ,69.96 ,68.92 ,69.18 ,74373.00 
2/15/2013,69.49 ,69.49 ,68.81 ,68.93 ,12544.00 
2/18/2013,68.84 ,69.11 ,68.71 ,69.08 ,5243.00 
2/19/2013,69.06 ,70.29 ,69.06 ,70.10 ,75479.00 
2/20/2013,70.39 ,70.46 ,69.96 ,69.96 ,8922.00 
2/21/2013,69.53 ,69.53 ,68.49 ,68.71 ,171443.00 
2/22/2013,68.93 ,69.52 ,68.93 ,69.27 ,94014.00 
2/25/2013,69.76 ,71.10 ,69.76 ,70.30 ,157939.00 
2/26/2013,68.95 ,69.38 ,68.89 ,69.02 ,71031.00 
2/27/2013,69.15 ,69.48 ,68.50 ,69.48 ,27083.00 
2/28/2013,70.00 ,70.10 ,69.77 ,69.99 ,27627.00 
3/1/2013,70.33 ,70.33 ,69.16 ,69.91 ,64068.00 
3/4/2013,69.40 ,69.79 ,69.21 ,69.79 ,53793.00 
3/5/2013,70.37 ,71.13 ,70.37 ,71.12 ,93202.00 
3/6/2013,71.50 ,72.15 ,71.50 ,71.71 ,85831.00 
3/7/2013,71.83 ,71.94 ,71.68 ,71.87 ,118820.00 
3/8/2013,72.50 ,72.51 ,72.11 ,72.24 ,25321.00 
3/11/2013,72.40 ,72.40 ,72.06 ,72.27 ,15523.00 
3/12/2013,72.19 ,72.35 ,71.93 ,72.19 ,25833.00 
3/13/2013,72.04 ,72.14 ,71.94 ,72.14 ,4379.00 
3/14/2013,72.57 ,72.91 ,72.57 ,72.76 ,11255.00 
3/15/2013,73.00 ,73.00 ,72.48 ,72.65 ,33727.00 
3/18/2013,72.18 ,72.56 ,71.65 ,72.56 ,15455.00 
3/19/2013,72.20 ,72.40 ,71.74 ,71.74 ,36882.00 
3/20/2013,72.37 ,72.63 ,72.22 ,72.42 ,66624.00 
3/21/2013,72.35 ,72.35 ,71.50 ,71.79 ,126442.00 
3/22/2013,71.57 ,71.95 ,71.39 ,71.87 ,52389.00 
3/25/2013,72.78 ,72.78 ,71.18 ,71.30 ,101507.00 
3/26/2013,71.31 ,71.57 ,71.18 ,71.33 ,73813.00 
3/27/2013,71.64 ,71.64 ,70.27 ,70.59 ,175117.00 
3/28/2013,70.52 ,70.95 ,70.46 ,70.73 ,50717.00 
4/2/2013,70.70 ,71.85 ,70.70 ,71.80 ,81711.00 
4/3/2013,71.76 ,72.01 ,71.33 ,71.33 ,30391.00 
4/4/2013,71.34 ,71.75 ,70.71 ,70.71 ,57800.00 
4/5/2013,70.79 ,70.79 ,69.18 ,69.28 ,183470.00 
4/8/2013,69.45 ,69.66 ,69.25 ,69.36 ,27304.00 
4/9/2013,69.76 ,69.87 ,68.88 ,68.97 ,59623.00 
