Date,Price,High,Low,Close,Vol
1/2/13,8337.900391,8447.599609,8286.700195,8447.599609,280533400
1/3/13,8375,8422.599609,8334.299805,8403.400391,182282600
1/4/13,8411.700195,8447,8386.700195,8435.799805,230118600
1/7/13,8434.299805,8485.599609,8406.299805,8419,289121800
1/8/13,8388.200195,8493.5,8374.700195,8453,335514800
1/9/13,8491.799805,8614.200195,8485.400391,8606.400391,445024000
1/10/13,8607.299805,8649.299805,8548.400391,8618.900391,493389400
1/11/13,8638,8677.400391,8580,8664.700195,252442200
1/14/13,8699.200195,8721.099609,8601.299805,8632.099609,250463600
1/15/13,8549.599609,8607.5,8520.599609,8601,271883200
1/16/13,8588.900391,8604,8525.5,8581.099609,291650800
1/17/13,8568.400391,8664.900391,8565.900391,8628.900391,234678400
1/18/13,8662.299805,8679.799805,8600.700195,8604,305696200
1/21/13,8628.299805,8665.900391,8608.900391,8665.900391,194477600
1/22/13,8655,8675.400391,8588.5,8632.099609,223749600
1/23/13,8637.900391,8650.400391,8585.5,8613.299805,229704400
1/24/13,8597.200195,8673,8576.400391,8665.599609,199089000
1/25/13,8642.599609,8734.099609,8616.299805,8724.599609,180051600
1/28/13,8755.900391,8755.900391,8672.5,8672.5,170355600
1/29/13,8674.400391,8690.900391,8606.799805,8643,179377600
1/30/13,8647.099609,8689.200195,8556.099609,8571.900391,187322400
1/31/13,8542.5,8543.700195,8362.299805,8362.299805,306581000
2/1/13,8233.400391,8301.299805,8159.5,8229.700195,598095600
2/4/13,8225,8227.700195,7916.799805,7919.600098,395048000
2/5/13,7901.5,8126.799805,7895.5,8093.600098,340040400
2/6/13,8115.399902,8161,8013,8056.200195,323687200
2/7/13,8081.5,8160.100098,8005.600098,8014.600098,267892800
2/8/13,8025.399902,8183.299805,8008.700195,8174.899902,231593600
2/11/13,8181.5,8181.5,8056,8078.600098,176146200
2/12/13,8069,8240.799805,8045.100098,8234.700195,243712000
2/13/13,8257.700195,8343.400391,8211.900391,8306.200195,267526200
2/14/13,8272,8328.700195,8155.5,8247.400391,264982800
2/15/13,8237.299805,8251.200195,8150.200195,8150.200195,242670000
2/18/13,8110.899902,8145.399902,8037.299805,8108.899902,0
2/19/13,8090,8230.799805,8087,8225.299805,256625000
2/20/13,8235.099609,8274.400391,8146.899902,8163,174829600
2/21/13,8117.5,8117.600098,7982,8014.5,273812400
2/22/13,8059.299805,8179,8051.100098,8179,218057800
2/25/13,8232.700195,8400.099609,8135.200195,8244.5,329551400
2/26/13,7943.200195,8099.799805,7911.100098,7980.700195,407966800
2/27/13,8015.899902,8136.700195,7966.399902,8136.700195,290260000
2/28/13,8185.799805,8252.299805,8142.799805,8230.299805,351215800
3/1/13,8220.5,8285.799805,8105.200195,8187.100098,335826000
3/4/13,8135.100098,8271.700195,8129.200195,8246.299805,232940000
3/5/13,8325.400391,8429.5,8313.099609,8423.299805,255574000
3/6/13,8436.200195,8485,8356.299805,8358.900391,188364600
3/7/13,8393.400391,8454.700195,8379.900391,8389.099609,176284000
3/8/13,8444.099609,8638.299805,8439.799805,8628.099609,328120200
3/11/13,8605,8610.200195,8495.599609,8554.400391,174802200
3/12/13,8529,8598.099609,8506.700195,8532.299805,186354400
3/13/13,8502.700195,8516.700195,8434.900391,8498.299805,210766000
3/14/13,8532.799805,8670.400391,8529.599609,8657.900391,278296400
3/15/13,8645.200195,8649.900391,8544.5,8619.099609,417423800
3/18/13,8383.200195,8527.599609,8351.799805,8507.799805,265680000
3/19/13,8499.900391,8532.400391,8250.5,8321,356447000
3/20/13,8394.299805,8494.400391,8327,8416.299805,244362000
3/21/13,8412.599609,8447.799805,8260.799805,8351.200195,284508000
3/22/13,8321.799805,8395.099609,8258.900391,8329.5,238206400
3/25/13,8434.599609,8461.900391,8100.299805,8140.600098,363679400
3/26/13,8175.100098,8183.700195,7968.200195,7990.5,358732400
3/27/13,8038,8040.200195,7822.5,7900.399902,478772600
3/28/13,7892.899902,7972,7797.200195,7920,274669000
