Date,Open,High,Low,Close
1/4/2013,10604.50,10734.23,10602.24,10688.11
1/7/2013,10743.69,10743.69,10589.70,10599.01
1/8/2013,10544.21,10602.12,10463.43,10508.06
1/9/2013,10405.67,10620.70,10398.61,10578.57
1/10/2013,10635.11,10686.12,10619.65,10652.64
1/11/2013,10786.14,10830.43,10748.06,10801.57
1/15/2013,10914.65,10952.31,10851.66,10879.08
1/16/2013,10806.41,10806.41,10591.30,10600.44
1/17/2013,10660.94,10694.85,10432.97,10609.64
1/18/2013,10791.97,10913.30,10787.12,10913.30
1/21/2013,10941.45,10941.45,10747.74,10747.74
1/22/2013,10765.10,10859.42,10615.20,10709.93
1/23/2013,10575.60,10663.09,10486.99,10486.99
1/24/2013,10441.11,10634.74,10441.11,10620.87
1/25/2013,10797.30,10926.65,10790.95,10926.65
1/28/2013,11002.86,11002.86,10824.31,10824.31
1/29/2013,10751.01,10937.63,10751.01,10866.72
1/30/2013,10913.97,11113.95,10905.64,11113.95
1/31/2013,11057.50,11145.38,11007.77,11138.66
2/1/2013,11193.72,11237.84,11142.26,11191.34
2/4/2013,11254.16,11285.49,11194.74,11260.35
2/5/2013,11105.24,11170.85,11046.92,11046.92
2/6/2013,11236.70,11498.42,11232.05,11463.75
2/7/2013,11406.32,11446.81,11295.62,11357.07
2/8/2013,11179.97,11299.71,11135.89,11153.16
2/12/2013,11346.72,11460.64,11343.44,11369.12
2/13/2013,11333.72,11365.27,11196.66,11251.41
2/14/2013,11273.40,11356.54,11243.49,11307.28
2/15/2013,11239.21,11261.58,11065.06,11173.83
2/18/2013,11318.22,11445.46,11308.83,11407.87
2/19/2013,11336.45,11412.86,11336.45,11372.34
2/20/2013,11485.65,11510.52,11440.10,11468.28
2/21/2013,11404.73,11442.11,11301.77,11309.13
2/22/2013,11238.75,11390.65,11175.67,11385.94
2/25/2013,11564.55,11662.52,11562.10,11662.52
2/26/2013,11449.66,11520.24,11374.83,11398.81
2/27/2013,11418.56,11419.62,11253.97,11253.97
2/28/2013,11396.73,11563.75,11392.56,11559.36
3/4/2013,11695.45,11767.68,11613.59,11652.29
3/5/2013,11732.57,11779.42,11666.38,11683.45
3/6/2013,11811.06,11933.82,11803.09,11932.27
3/7/2013,12037.25,12069.60,11946.01,11968.08
3/8/2013,12066.50,12283.62,12065.09,12283.62
3/11/2013,12363.09,12403.95,12300.83,12349.05
3/12/2013,12433.60,12461.97,12314.81,12314.81
3/13/2013,12252.29,12339.45,12234.48,12239.66
3/14/2013,12332.16,12395.73,12248.65,12381.19
3/15/2013,12437.68,12560.95,12434.47,12560.95
3/18/2013,12365.44,12373.17,12220.63,12220.63
3/19/2013,12405.61,12491.16,12401.12,12468.23
3/21/2013,12592.00,12650.26,12586.06,12635.69
3/22/2013,12498.51,12522.05,12338.53,12338.53
3/25/2013,12507.61,12594.36,12480.42,12546.46
3/26/2013,12461.79,12540.12,12456.04,12471.62
3/27/2013,12476.58,12502.26,12442.39,12493.79
3/28/2013,12457.13,12462.86,12286.37,12335.96
3/29/2013,12405.53,12425.96,12319.75,12397.91
4/1/2013,12371.34,12384.83,12133.00,12135.02
4/2/2013,12051.57,12107.40,11805.78,12003.43
4/3/2013,12112.09,12362.20,12102.05,12362.20
4/4/2013,12188.22,12634.54,12075.97,12634.54
4/5/2013,12880.82,13225.62,12831.10,12833.64
4/8/2013,13082.61,13225.22,13080.29,13192.59
4/9/2013,13309.13,13331.39,13151.73,13192.35
4/10/2013,13177.31,13325.15,13177.31,13288.13
4/11/2013,13444.95,13549.16,13384.11,13549.16
4/12/2013,13568.25,13568.25,13402.86,13485.14
4/15/2013,13345.86,13408.29,13257.86,13275.66
4/16/2013,13023.91,13312.23,13004.46,13221.44
4/17/2013,13330.50,13397.50,13318.69,13382.89
4/18/2013,13272.22,13377.74,13200.85,13220.07
4/19/2013,13268.43,13338.75,13186.89,13316.48
4/22/2013,13537.17,13611.58,13529.44,13568.37
4/23/2013,13545.60,13585.35,13505.53,13529.65
4/24/2013,13687.28,13843.46,13686.78,13843.46
4/25/2013,13887.53,13974.26,13827.96,13926.08
4/26/2013,13978.98,13983.87,13852.20,13884.13
4/30/2013,13854.82,13897.06,13778.75,13860.86
5/1/2013,13837.72,13844.82,13782.00,13799.35
5/2/2013,13727.25,13780.48,13637.96,13694.04
5/7/2013,13960.04,14196.38,13951.81,14180.24
5/8/2013,14196.20,14421.38,14186.83,14285.69
5/9/2013,14366.95,14409.82,14191.48,14191.48
5/10/2013,14449.24,14636.81,14426.74,14607.54
5/13/2013,14759.50,14849.01,14727.70,14782.21
5/14/2013,14822.56,14839.79,14755.08,14758.42
5/15/2013,14962.34,15108.83,14956.38,15096.03
5/16/2013,15146.05,15155.72,14879.51,15037.24
5/17/2013,14926.42,15157.32,14902.30,15138.12
5/20/2013,15260.61,15381.74,15245.80,15360.81
5/21/2013,15264.79,15388.37,15264.42,15381.02
5/22/2013,15440.69,15706.63,15432.64,15627.26
5/23/2013,15739.98,15942.60,14483.98,14483.98
5/24/2013,14731.75,15007.50,13981.52,14612.45
5/27/2013,14373.82,14381.28,14027.42,14142.65
5/28/2013,13943.62,14399.78,13943.62,14311.98
5/29/2013,14492.55,14512.28,14243.49,14326.46
