Date,Open,High,Low,Close
1/2/2013,7738.05,7793.48,7715.26,7779.22
1/3/2013,7826.34,7855.16,7815.29,7836.84
1/4/2013,7818.27,7818.27,7773.06,7805.99
1/7/2013,7797.05,7797.05,7725.47,7755.09
1/8/2013,7737.07,7751.8,7692.98,7721.66
1/9/2013,7726.4,7763.97,7703.23,7738.64
1/10/2013,7780.98,7825.06,7760.09,7811.64
1/11/2013,7843.57,7845.36,7801.69,7819.15
1/14/2013,7795.68,7823.97,7731.32,7823.97
1/15/2013,7823.51,7823.51,7744.39,7765.02
1/16/2013,7766.09,7769.18,7700.43,7700.43
1/17/2013,7748.57,7774.97,7603.27,7616.64
1/18/2013,7697.28,7732.87,7676.11,7732.87
1/21/2013,7725.36,7739.37,7674.18,7724.92
1/22/2013,7746.79,7759.47,7699.25,7759.1
1/23/2013,7773.2,7773.2,7730.1,7744.18
1/24/2013,7717.04,7724.68,7653.62,7695.99
1/25/2013,7695.25,7704.31,7637.2,7672.58
1/28/2013,7685.67,7717.35,7685.67,7714.67
1/29/2013,7744.15,7802,7739.6,7802
1/30/2013,7832.95,7847.21,7804.71,7832.98
1/31/2013,7832.87,7850.02,7800.9,7850.02
2/1/2013,7853.75,7866.23,7832,7855.97
2/4/2013,7882.76,7929.97,7880.29,7923.16
2/5/2013,7896.67,7896.67,7863.91,7886.94
2/6/2013,7925.26,7941.65,7906.65,7906.65
2/18/2013,8000.69,8005.73,7927.95,7943.53
2/19/2013,7974.4,7974.4,7946.09,7960.88
2/20/2013,8021.31,8029.1,7995.16,8029.1
2/21/2013,8020.52,8020.52,7957.46,7957.46
2/22/2013,7947.88,7970.24,7913.16,7947.72
2/25/2013,7986.87,7995.11,7947.68,7947.68
2/26/2013,7891.41,7927.49,7871.23,7880.9
2/27/2013,7886.03,7912.85,7873.29,7897.98
3/1/2013,7917.72,7964.63,7917.72,7964.63
3/4/2013,7943.54,7944.22,7849.52,7867.34
3/5/2013,7910.44,7939.85,7882.56,7932.71
3/6/2013,7958.11,7982.39,7936.86,7950.3
3/7/2013,7950.9,7984.29,7942.37,7960.51
3/8/2013,7981,8029.14,7981,8015.14
3/11/2013,8021.88,8089.21,8001.85,8038.72
3/12/2013,8039,8063.23,7986.59,7994.71
3/13/2013,8018.9,8047.56,7962.42,7995.51
3/14/2013,8002.42,8002.71,7946.29,7951.76
3/15/2013,7989.67,7999.92,7924.94,7927.49
3/18/2013,7886.69,7888.16,7807.61,7811.34
3/19/2013,7843.47,7863.77,7823.81,7838.47
3/20/2013,7834.73,7844.54,7786.56,7798.03
3/21/2013,7828.95,7843.16,7811.84,7811.84
3/22/2013,7811.52,7832.59,7796.22,7796.22
3/25/2013,7862.58,7877.05,7854.47,7856.12
3/26/2013,7873.7,7876.68,7845.56,7856.36
3/27/2013,7872.75,7894.26,7857.32,7894.12
3/28/2013,7905.71,7905.71,7844.84,7866.88
3/29/2013,7904.5,7931.7,7883.81,7918.61
4/1/2013,7934.25,7937.73,7896.57,7899.24
4/2/2013,7897.16,7924.46,7879.55,7913.18
4/3/2013,7949.12,7954.15,7913.77,7942.35
4/8/2013,7831.22,7843.1,7747.47,7752.79
4/9/2013,7766.62,7781.13,7714.93,7728.54
4/10/2013,7772.95,7772.95,7739.99,7752.8
4/11/2013,7788.58,7857.98,7788.58,7857.98
4/12/2013,7861.12,7864.86,7810.54,7821.63
4/15/2013,7815.32,7835.12,7753.24,7763.53
4/16/2013,7690.91,7801.05,7688.62,7801.05
4/17/2013,7822.81,7822.81,7791.53,7809.07
4/18/2013,7781.48,7826.13,7757.33,7791.35
4/19/2013,7868.9,7933.72,7862.92,7930.8
4/22/2013,7976.1,7996.55,7950.01,7970.38
4/23/2013,7955.92,7968.79,7913.6,7942.77
4/24/2013,7977.4,8025.45,7968.28,8023.71
4/25/2013,8015.38,8026.46,7994.19,8021.75
4/26/2013,8034.47,8081.37,8020.47,8022.06
4/29/2013,8043.71,8046.22,8014.27,8029.74
4/30/2013,8065.92,8115.59,8065.92,8093.66
5/2/2013,8111.43,8139.49,8095.7,8128.51
5/3/2013,8157.51,8175.33,8121.07,8135.03
5/6/2013,8188.48,8197.52,8153.96,8169.05
5/7/2013,8177.58,8181.8,8145.1,8163.06
5/8/2013,8177.94,8284.09,8177.94,8267.09
5/9/2013,8314.37,8322.69,8279.46,8285.89
5/10/2013,8284.38,8297.33,8258.62,8280.26
5/13/2013,8285.45,8296.54,8230.65,8248.32
5/14/2013,8272.2,8295.41,8233.98,8251.82
5/15/2013,8264.1,8320.32,8251.51,8318.59
5/16/2013,8362.49,8414.88,8346.45,8390.05
5/17/2013,8377.26,8402.34,8356.79,8368.19
5/20/2013,8364.95,8385.68,8347.33,8377.05
5/21/2013,8381.36,8420.68,8361.96,8383.05
5/22/2013,8414.06,8439.15,8376.21,8398.84
5/23/2013,8367.85,8373.09,8235.5,8237.83
5/24/2013,8273.21,8277.56,8173.16,8209.78
5/27/2013,8218.88,8280.1,8210.32,8280.1
5/28/2013,8289.15,8303.71,8261.54,8263.05
5/29/2013,8303.2,8344.21,8303.2,8337.9
5/30/2013,8316.97,8316.97,8228.8,8243.29
5/31/2013,8318.77,8334.44,8237.08,8254.8
6/3/2013,8177.97,8225.79,8149.45,8201.02
6/4/2013,8243.22,8250.17,8180.39,8191.22
6/5/2013,8195.52,8216.31,8161.1,8181.91
6/6/2013,8135.56,8162.25,8088.31,8096.14
6/7/2013,8113.95,8146.78,8071.98,8095.2
6/10/2013,8161.51,8190.87,8142.71,8160.55
6/11/2013,8178.95,8178.95,8116.15,8116.15
6/13/2013,8041.5,8057.33,7951.66,7951.66
6/14/2013,7978.75,7989.19,7912.37,7937.74
6/17/2013,7953.65,7999.43,7940.72,7992.89
6/18/2013,7994.81,8024.95,7955.74,8011.02
6/19/2013,8033.32,8056.19,8005.57,8007.39
6/20/2013,7952.36,7962.76,7890.93,7898.91
6/21/2013,7778.84,7815.79,7739.09,7793.31
6/24/2013,7788.45,7815.1,7744.49,7758.03
6/25/2013,7750.34,7792.27,7663.23,7663.23
6/26/2013,7789.34,7821.14,7742.2,7784.8
6/27/2013,7841.32,7884.13,7834.33,7883.9
6/28/2013,7928.54,8062.21,7891.06,8062.21
7/1/2013,8011.95,8063.47,7974.15,8036
7/2/2013,8061.84,8064.12,8012.79,8015.86
7/3/2013,7991.53,7995.3,7899.08,7911.42
7/4/2013,7919.26,7927.08,7877.06,7893.72
7/5/2013,7932.3,8018.93,7926.35,8001.82
7/8/2013,7980.11,7992.16,7885,7886.34
7/9/2013,7891.53,7975.64,7891.37,7971.18
7/10/2013,7974.99,8057.92,7974.99,8011.69
7/11/2013,8080.97,8179.54,8080.97,8179.54
7/12/2013,8187.86,8220.49,8169.92,8220.49
7/15/2013,8178.26,8254.68,8175.55,8254.68
7/16/2013,8243.62,8260.11,8222.17,8260.11
7/17/2013,8239.1,8260.25,8208.71,8258.95
7/18/2013,8238.28,8265.7,8181.99,8194.88
7/19/2013,8117.94,8139.81,8046.7,8062.03
7/22/2013,8092.03,8137.37,8092.03,8105.45
